word,tag,sentence
bossche,I-PERS,3
oft,O,3
sine,O,3
na,O,3
Comers,O,3
niet,O,3
en,O,3
golde,O,3
jaerlics,O,3
erfleke,O,3
durende,O,3
laureinse,B-PERS,3
vornompt,O,3
oft,O,3
sinen,O,3
na,O,3
Comers,O,3
achte,B-MONEY,3
en,I-MONEY,3
viertich,I-MONEY,3
schellinghe,I-MONEY,3
paris,I-MONEY,3
jn,O,3
al,O,3
der,O,3
maniere,O,3
dat,O,3
sijn,O,3
Chaertre,O,3
hout,O,3
En,O,3
hi,O,3
sine,O,3
pande,O,3
moeste,O,3
volghen,O,3
wetteleke,O,3
en,O,3
afwinne,O,3
den,O,3
welken,O,3
jan,B-PERS,3
zeghers,I-PERS,3
vornopt,O,3
wetteleec,O,3
gheset,O,3
heeft,O,3
vor,O,3
de,O,3
achte,B-MONEY,3
en,I-MONEY,3
viertich,I-MONEY,3
schellinghe,I-MONEY,3
par,I-MONEY,3
also,O,3
saen,O,3
als,O,3
laureins,B-PERS,3
vornopt,O,3
oft,O,3
sine,O,3
na,O,3
Comers,O,3
dien,O,3
vors,O,3
pant,O,3
af,O,3
hebben,O,3
en,O,3
wetteleke,O,3
daer,O,3
toe,O,3
sijn,O,3
so,O,3
gaderen,O,3
gilles,B-PERS,3
Claus,I-PERS,3
vornomde,O,3
drie,O,3
dach,O,3
Erfachtiche-den,O,3
met,O,3
den,O,3
vorseiden,O,3
afghewonne,O,3
pande,O,3
En,O,3
Es,O,3
dan,O,3
Een,O,3
gheheel,O,3
pant,O,3
vor,O,3
de,O,3
achte,B-MONEY,3
en,I-MONEY,3
viertich,I-MONEY,3
schellinghe,I-MONEY,3
paris,I-MONEY,3
jn,O,3
al,O,3
d,O,3
manieren,O,3
dat,O,3
loureins,B-PERS,3
Chaertre,O,3
hout,O,3
vornompt,O,3
vort,O,3
heeft,O,3
laureins,B-PERS,3
vornompt,O,3
gheorlooft,O,3
En,O,3
gheconsenteert,O,3
Dat,O,3
welken,O,3
tijt,O,3
dat,O,3
gilles,B-PERS,3
Claus,I-PERS,3
vornomde,O,3
drie,O,3
dach,O,3
Erfachticheden,O,3
sijn,O,3
vergadert,O,3
met,O,3
jan,B-PERS,3
zeghers,I-PERS,3
pande,O,3
vorseit,O,3
jn,O,3
der,O,3
manieren,O,3
dat,O,3
vorscreuen,O,3
es,O,3
Dat,O,3
gilles,B-PERS,3
Claus,I-PERS,3
vorseit,O,3
oft,O,3
sine,O,3
na,O,3
Comers,O,3
dan,O,3
haer,O,3
hant,O,3
moghen,O,3
slaen,O,3
an,O,3
den,O,3
gheheel,O,3
vornomde,O,3
pant,O,3
notende,O,3
en,O,3
plotende,O,3
ghelijc,O,3
haren,O,3
propre,O,3
Erue,O,3
En,O,3
ghelden,O,3
Jaerlics,O,3
Erfleke,O,3
durende,O,3
de,O,3
vornomde,O,3
achte,B-MONEY,3
en,I-MONEY,3
viertich,I-MONEY,3
schellinghe,I-MONEY,3
paris,I-MONEY,3
laureinse,B-PERS,3
vors,O,3
en,O,3
sine,O,3
na,O,3
Comers,O,3
jn,O,3
al,O,3
d,O,3
manieren,O,3
dat,O,3
sijn,O,3
Chaertre,O,3
hout,O,3
sprekende,O,3
vp,O,3
jan,B-PERS,3
zeghers,I-PERS,3
pant,O,3
vornompt,O,3
En,O,3
ghel-den,O,3
vort,O,3
laureinse,B-PERS,3
vorseit,O,3
oft,O,3
sine,O,3
na,O,3
Comers,O,3
de,O,3
coste,O,3
die,O,3
sij,O,3
ane,O,3
gheleit,O,3
hadden,O,3
om,O,3
janne,B-PERS,3
zeghers,I-PERS,3
sone,O,3
was,O,3
van,B-PERS,3
den,I-PERS,3
bossche,I-PERS,3
sine,O,3
pant,O,3
af,O,3
te,O,3
winne,O,3
oft,O,3
sine,O,3
na,O,3
Comers,O,3
Jn,O,3
kenlecheden,O,3
der,O,3
waerheden,O,3
hebben,O,3
wij,O,3
lantsce-penen,O,3
vorseit,O,3
dese,O,3
lettren,O,3
gheseghelt,O,3
met,O,3
Onsen,O,3
zeghele,O,3
vtehanghende,O,3
En,O,3
behouden,O,3
Elcs,O,3
mans,O,3
Rechte,O,3
Dit,O,3
was,O,3
ghedaen,O,3
Jnt,O,3
Jaer,O,3
Ons,O,3
heen,O,3
doe,O,3
men,O,3
screef,O,3
Dertienhondert,B-DATE,3
zeuene,I-DATE,3
en,I-DATE,3
viertich,I-DATE,3
vp,I-DATE,3
den,I-DATE,3
achstersten,I-DATE,3
dach,I-DATE,3
van,I-DATE,3
der,I-DATE,3
maent,I-DATE,3
van,I-DATE,3
decembre.,I-DATE,3
Weten,O,4
alle,O,4
lieden.,O,4
dat,O,4
pieter,B-PERS,4
uten,I-PERS,4
riede,I-PERS,4
heeft,O,4
vercocht,O,4
wel,O,4
ende,O,4
wetteleke,O,4
den,O,4
hospitale,O,4
onser,B-PERS,4
vrowen,I-PERS,4
van,O,4
audenarde,B-LOC,4
viertech,B-MONEY,4
scellinghe,I-MONEY,4
parisiser,I-MONEY,4
penninghe,I-MONEY,4
erfleker,O,4
renten,O,4
siars,O,4
alsulc,O,4
ghedane,O,4
mu-te,O,4
als,O,4
die,O,4
van,O,4
den,O,4
vorseiden,O,4
hospitale,O,4
ontfaen,O,4
zelen,O,4
van,O,4
hare,O,4
anderre,O,4
auder,O,4
erfleker,O,4
renten,O,4
de-welke,O,4
viertech,O,4
scellinghe,O,4
parisise,O,4
vorseit,O,4
de,O,4
vornomde,O,4
pieter,B-PERS,4
heeft,O,4
bewijst,O,4
ende,O,4
best,O,4
wel,O,4
en,O,4
wette-leke,O,4
op,O,4
twe,O,4
bunre,O,4
lants,O,4
lettel,O,4
meer,O,4
oft,O,4
min,O,4
ligghende,O,4
in,O,4
de,O,4
prochie,O,4
van,O,4
audenghem,B-LOC,4
in,O,4
de,O,4
stede-,O,4
die,O,4
men,O,4
heet,O,4
wtfanc,B-LOC,4
Te,O,4
gheldene,O,4
eweleke,O,4
de,O,4
vornomde,O,4
viertech,B-MONEY,4
scellinghe,I-MONEY,4
paris,I-MONEY,4
elx,O,4
iaers,O,4
tonservrouwen,B-DATE,4
daghe,I-DATE,4
te,I-DATE,4
half,I-DATE,4
oust,I-DATE,4
Ende,O,4
van,O,4
desen,O,4
vorseiden,O,4
twe,O,4
bunre,O,4
lants,O,4
lettel,O,4
meer,O,4
oft,O,4
min,O,4
so,O,4
heb-ben,O,4
hem,O,4
pieter,B-PERS,4
vorseit,O,4
ende,O,4
joncvro,O,4
kateline,B-PERS,4
siin,O,4
wetteleke,O,4
wijf,O,4
ontareft,O,4
wel,O,4
ende,O,4
wetteleke,O,4
sforseit,O,4
hospitaels,O,4
bouf,O,4
om,O,4
hemleden,O,4
van,O,4
den,O,4
vornomden,O,4
hospitale,O,4
an,O,4
te,O,4
gherekene,O,4
de,O,4
vorseide,O,4
viertech,B-MONEY,4
scellinghe,I-MONEY,4
paris,I-MONEY,4
telken,O,4
haluen,B-DATE,4
ouste,I-DATE,4
op,O,4
dat,O,4
men,O,4
re,O,4
af,O,4
in,O,4
ghebreke,O,4
ware,O,4
van,O,4
gheldinghen,O,4
Ende,O,4
hier,O,4
toe,O,4
so,O,4
es,O,4
comen,O,4
ende,O,4
drin,O,4
gheareft,O,4
wel,O,4
ende,O,4
wetteleke,O,4
joncvro,O,4
anees,B-PERS,4
van,I-PERS,4
den,I-PERS,4
putthe,I-PERS,4
sforseits,O,4
hospitaels,O,4
bouf,O,4
ende,O,4
dat,O,4
bi,O,4
orloue,O,4
ende,O,4
bi,O,4
consente,O,4
van,O,4
michiele,B-PERS,4
van,I-PERS,4
landenghem,I-PERS,4
van,O,4
wien,O,4
dat,O,4
men,O,4
tforseide,O,4
lant,O,4
hilt,O,4
te,O,4
dien,O,4
tiden,O,4
dat,O,4
dit,O,4
ghedaen,O,4
was,O,4
Ende,O,4
alle,O,4
dese,O,4
vorseide,O,4
dinghe,O,4
waren,O,4
ghe-daen,O,4
wel,O,4
ende,O,4
wetteleke,O,4
na,O,4
dusage,O,4
ene,O,4
costume,O,4
van,O,4
den,O,4
lande,O,4
bi,O,4
maninghen,O,4
van,O,4
den,O,4
bailliu,O,4
ende,O,4
bi,O,4
wijsdomme,O,4
van,O,4
scepenen,O,4
Ende,O,4
om,O,4
.,O,4
dat,O,4
wi,O,4
ihan,B-PERS,4
de,I-PERS,4
werf,I-PERS,4
bailliu,O,4
michiels,B-PERS,4
van,I-PERS,4
landenghe,I-PERS,4
van,O,4
siin,O,4
herscepe,O,4
taudenghem,B-LOC,4
wouter,B-PERS,4
betthe,I-PERS,4
ihan,B-PERS,4
scinkel,I-PERS,4
ihan,B-PERS,4
stuur,I-PERS,4
soy,B-PERS,4
van,I-PERS,4
den,I-PERS,4
pelliarde,I-PERS,4
ende,O,4
boidin,B-PERS,4
de,I-PERS,4
vriese,I-PERS,4
scepenen,O,4
michiels,B-PERS,4
vornomt,O,4
jnt,O,4
vorseide,O,4
herscep,O,4
taudenghe,B-LOC,4
waren,O,4
ouer,O,4
alle,O,4
dese,O,4
vorseide,O,4
dinghe,O,4
so,O,4
hebben,O,4
wi,O,4
desen,O,4
tsartre,O,4
beseghelt,O,4
met,O,4
onsen,O,4
propren,O,4
zeglen,O,4
vte,O,4
hanghende,O,4
jn,O,4
or-conscepen,O,4
van,O,4
wareden,O,4
Ende,O,4
was,O,4
ghedaen,O,4
jnt,O,4
jaer,O,4
ons,O,4
heren,O,4
doe,O,4
men,O,4
screef,O,4
dusentech,B-DATE,4
drie,I-DATE,4
hon-dt,I-DATE,4
dertech,I-DATE,4
ende,I-DATE,4
viere,I-DATE,4
jn,I-DATE,4
oust,I-DATE,4
Maent,I-DATE,4
Wij,O,5
lantscepenen,O,5
van,O,5
velzeke,B-LOC,5
maken,O,5
Cont,O,5
Ende,O,5
kenleec,O,5
allen,O,5
den,O,5
ghene,O,5
die,O,5
nu,O,5
sijn,O,5
ende,O,5
hier,O,5
na,O,5
wesen,O,5
selen,O,5
Dat,O,5
laureins,B-PERS,5
van,I-PERS,5
lancackere,I-PERS,5
Es,O,5
Comen,O,5
vor,O,5
Ons,O,5
en,O,5
heeft,O,5
ghecocht,O,5
wel,O,5
en,O,5
wetteleke,O,5
Jeghen,O,5
janne,B-PERS,5
zeghers,I-PERS,5
sone,O,5
was,O,5
van,B-PERS,5
den,I-PERS,5
bossche,I-PERS,5
achte,B-MONEY,5
en,I-MONEY,5
viertich,I-MONEY,5
schellinghe,I-MONEY,5
parisise,I-MONEY,5
tsiaers,O,5
Erfleke,O,5
durende,O,5
Te,O,5
gheldene,O,5
jaerlics,O,5
binnen,O,5
der,O,5
stede,O,5
van,O,5
ghent,B-LOC,5
telken,O,5
kersthauonde,B-DATE,5
En,O,5
Onbegrepen,O,5
van,O,5
gheldinghe,O,5
tote,O,5
sen-te,B-DATE,5
marien,I-DATE,5
lichtmesse,I-DATE,5
daer,O,5
na,O,5
naest,O,5
volghende,O,5
jn,O,5
also,O,5
sulken,O,5
ghelde,O,5
En,O,5
paymente,O,5
als,O,5
de,O,5
heen,O,5
van,O,5
velzeke,B-LOC,5
vorseit,O,5
jaerlics,O,5
sullen,O,5
doen,O,5
Ontfaen,O,5
van,O,5
haren,O,5
Renten,O,5
En,O,5
dese,O,5
vornomde,O,5
achte,B-MONEY,5
en,I-MONEY,5
viertich,I-MONEY,5
schellinghe,I-MONEY,5
par,I-MONEY,5
heeft,O,5
jan,B-PERS,5
vorseit,O,5
bewijst,O,5
en,O,5
beset,O,5
wel,O,5
en,O,5
wetteleke,O,5
den,O,5
vornom-den,O,5
laureinse,B-PERS,5
ende,O,5
sinen,O,5
na,O,5
Comers,O,5
Erfleke,O,5
durende,O,5
vp,O,5
drie,O,5
dachwant,O,5
en,O,5
zeuen,O,5
en,O,5
zestich,O,5
roeden,O,5
lants,O,5
en,O,5
Eene,O,5
alue,O,5
ligghende,O,5
ten,O,5
bossche,O,5
jnt,O,5
velt,O,5
neuen,O,5
tskeuers,B-LOC,5
En,O,5
vp,O,5
sijn,O,5
huus,O,5
en,O,5
hofstede,O,5
jn,O,5
al,O,5
den,O,5
ghelaghen,O,5
dat,O,5
se,O,5
gheleghe,O,5
es,O,5
Een,O,5
dach,O,5
grot,O,5
lettel,O,5
men,O,5
oft,O,5
meer,O,5
En,O,5
waer,O,5
dat,O,5
sake,O,5
dat,O,5
jan,B-PERS,5
vorseit,O,5
oft,O,5
de,O,5
ghene,O,5
die,O,5
de,O,5
vornomde,O,5
Erfachtichede,O,5
houden,O,5
selen,O,5
niet,O,5
en,O,5
golden,O,5
jaerlics,O,5
de,O,5
vorsei-de,O,5
achte,O,5
en,O,5
viertich,O,5
schellinghe,O,5
par,O,5
Erfleke,O,5
durende,O,5
laureinse,B-PERS,5
vornompt,O,5
ofte,O,5
sinen,O,5
na,O,5
Comers,O,5
ten,O,5
vorseiden,O,5
daghe,O,5
jn,O,5
al,O,5
der,O,5
manieren,O,5
dat,O,5
vorscreuen,O,5
es,O,5
so,O,5
mochte,O,5
laureins,B-PERS,5
vornompt,O,5
oft,O,5
sine,O,5
na,O,5
Comers,O,5
slaen,O,5
haer,O,5
hant,O,5
an,O,5
den,O,5
vornomden,O,5
pant,O,5
ghe-lijc,O,5
an,O,5
haer,O,5
proper,O,5
erue,O,5
En,O,5
wie,O,5
desen,O,5
Chaertre,O,5
bringhen,O,5
sal,O,5
mach,O,5
hinre,O,5
sijn,O,5
van,O,5
der,O,5
vornomder,O,5
Renten,O,5
vort,O,5
waert,O,5
also,O,5
dat,O,5
jan,B-PERS,5
vorseit,O,5
oft,O,5
de,O,5
ghene,O,5
die,O,5
de,O,5
vornomde,O,5
Erfachtichede,O,5
houden,O,5
selen,O,5
lieten,O,5
Ouerliden,O,5
sente,B-DATE,5
marien,I-DATE,5
lichtmesse,I-DATE,5
Ende,O,5
de,O,5
vorseide,O,5
Rente,O,5
Jaerlics,O,5
niet,O,5
vergolden,O,5
en,O,5
ware,O,5
so,O,5
mochte,O,5
laureins,B-PERS,5
oft,O,5
sine,O,5
na,O,5
Comers,O,5
vorseit,O,5
verteren,O,5
Elcs,O,5
daechs,O,5
twalef,B-MONEY,5
pen-ninghe,I-MONEY,5
paris,I-MONEY,5
vp,O,5
den,O,5
vornomden,O,5
pant,O,5
sonder,O,5
menderen,O,5
den,O,5
princepael,O,5
tote,O,5
dies,O,5
maels,O,5
dat,O,5
de,O,5
vornomde,O,5
Rente,O,5
vulgolden,O,5
ware,O,5
Jn,O,5
kenlecheden,O,5
der,O,5
waerheden,O,5
hebben,O,5
wij,O,5
lantscepene,O,5
vorseit,O,5
dese,O,5
lettren,O,5
gheseghelt,O,5
met,O,5
Onsen,O,5
zeghele,O,5
vtehanghende,O,5
En,O,5
be-houden,O,5
Elcs,O,5
mans,O,5
Rechte,O,5
Dit,O,5
was,O,5
Ghedaen,O,5
jnt,O,5
Jaer,O,5
Ons,O,5
heen,O,5
doe,O,5
men,O,5
screef,O,5
Dertienhondert,B-DATE,5
zeuen,I-DATE,5
Ende,I-DATE,5
viertich,I-DATE,5
Jn,I-DATE,5
senter,I-DATE,5
Niclaus,I-DATE,5
auonde,I-DATE,5
kenlijc,O,6
zij,O,6
allen,O,6
lieden,O,6
Dat,O,6
joncfr,O,6
kateline,B-PERS,6
de,O,6
wedewe,O,6
van,O,6
dierlay,B-PERS,6
Crupeninghe,I-PERS,6
met,O,6
goeder,O,6
vorsienicheden,O,6
heeft,O,6
ghegheue,O,6
en,O,6
gheeft,O,6
in,O,6
aelmoesenen,O,6
ome,O,6
gode,B-PERS,6
den,O,6
hospitale,O,6
van,O,6
Audenaerde,B-LOC,6
ten,O,6
sieken,O,6
bouf,O,6
Ende,O,6
den,O,6
armen,O,6
van,O,6
audeaerde,B-LOC,6
al,O,6
haer,O,6
deel,O,6
ende,O,6
recht,O,6
dat,O,6
soe,O,6
heeft,O,6
an,O,6
thuus,O,6
ende,O,6
erue,O,6
bachten,O,6
der,O,6
kerken,O,6
taudenaerde,B-LOC,6
dat,O,6
men,O,6
heet,O,6
den,O,6
steen,B-LOC,6
van,I-LOC,6
jnghelant,I-LOC,6
dats,O,6
te,O,6
wetene,O,6
dat,O,6
soere,O,6
an,O,6
heeft,O,6
.xxxijste,O,6
deel,O,6
in,O,6
eruen,O,6
ende,O,6
in,O,6
kateylen,O,6
Ende,O,6
an,O,6
dese,O,6
vors,O,6
ghifte,O,6
dospitael,O,6
en,O,6
darme,O,6
vors,O,6
hant,O,6
slaende,O,6
stappans,O,6
naer,O,6
dat,O,6
joncfr,O,6
kateline,B-PERS,6
vors,O,6
sal,O,6
sijn,O,6
gheuaren,O,6
van,O,6
liue,O,6
ter,O,6
doot,O,6
elc,O,6
helt,O,6
en,O,6
helt,O,6
Ende,O,6
in,O,6
deser,O,6
manieren,O,6
dat,O,6
mijn,O,6
vrouwe,O,6
van,O,6
den,O,6
hospitale,O,6
vors,O,6
die,O,6
dan,O,6
sijn,O,6
sal,O,6
darme,O,6
vors,O,6
dan,O,6
af,O,6
coepen,O,6
mach,O,6
van,O,6
haren,O,6
deele,O,6
van,O,6
deser,O,6
vorseid,O,6
ghiften,O,6
ome,O,6
de,O,6
some,O,6
van,O,6
x,B-MONEY,6
sc,I-MONEY,6
gro,I-MONEY,6
vlaemscher,I-MONEY,6
munten,I-MONEY,6
Ende,O,6
die,O,6
moeste,O,6
mijn,O,6
vrouwe,O,6
vors,O,6
die,O,6
dan,O,6
sijn,O,6
sal,O,6
den,O,6
vors,O,6
armen,O,6
betalen,O,6
ende,O,6
ouer,O,6
legghen,O,6
ende,O,6
daer,O,6
mede,O,6
tvors,O,6
.xxxij.ste,O,6
deel,O,6
van,O,6
den,O,6
vors,O,6
huus,O,6
ende,O,6
erue,O,6
sospitaels,O,6
vors,O,6
alleene,O,6
sijnde,O,6
Ende,O,6
ghelijc,O,6
dat,O,6
vors,O,6
es,O,6
So,O,6
heuet,O,6
joncfr,O,6
kateline,B-PERS,6
vors,O,6
met,O,6
voegde,O,6
gheloeft,O,6
ende,O,6
bewijst,O,6
vp,O,6
al,O,6
haer,O,6
deel,O,6
en,O,6
recht,O,6
van,O,6
den,O,6
vors,O,6
huus,O,6
ende,O,6
erue,O,6
ghenomt,O,6
den,O,6
steen,B-LOC,6
van,I-LOC,6
jnghelant,I-LOC,6
jn,O,6
kennessen,O,6
ende,O,6
orcondscepen,O,6
der,O,6
waerheden,O,6
So,O,6
hebbe,O,6
wij,O,6
fransoye,B-PERS,6
Crupeninc,I-PERS,6
fransoye,B-PERS,6
van,I-PERS,6
der,I-PERS,6
Crayen,I-PERS,6
Ende,O,6
daneel,B-PERS,6
van,I-PERS,6
den,I-PERS,6
bossche,I-PERS,6
Alse,O,6
scepenen,O,6
in,O,6
audenarde,B-LOC,6
dese,O,6
pnte,O,6
cyrog,O,6
gheseghelt,O,6
elc,O,6
onser,O,6
met,O,6
sinen,O,6
zegle,O,6
vte,O,6
hanghende,O,6
Dit,O,6
was,O,6
ghedaen,O,6
jnt,O,6
jaer,O,6
ons,O,6
heen,O,6
als,O,6
men,O,6
screef,O,6
m,B-DATE,6
CCC,I-DATE,6
xcv,I-DATE,6
den,I-DATE,6
xiste,I-DATE,6
dach,I-DATE,6
in,I-DATE,6
octobre,I-DATE,6
Wij,O,7
lantscepenen,O,7
van,O,7
zottenghem,B-LOC,7
maken,O,7
cont,O,7
ende,O,7
kenleec,O,7
allen,O,7
den,O,7
ghenen,O,7
die,O,7
nv,O,7
sijn,O,7
ende,O,7
hier,O,7
na,O,7
wesen,O,7
selen,O,7
dat,O,7
jan,B-PERS,7
van,I-PERS,7
der,I-PERS,7
boenbeken,I-PERS,7
heeft,O,7
ghecocht,O,7
wetteleke,O,7
Ende,O,7
Redenleke,O,7
ende,O,7
wel,O,7
vergouden,O,7
